"","Especies","Tribu","Tipo_papus"
"1","Acanthospermum_hispidum","Millerieae","aristado"
"2","Angelphytum","Heliantheae","aristado"
"3","Aphyllocladus_spartioides","Onoserideae","setoso"
"4","Austrobrickellia_patens","Eupatorieae","setoso"
"5","Austroeupatorium_inulifolium","Eupatorieae","setoso"
"6","Baccharis_effusa","Astereae","setoso"
"7","Baccharis_juncea","Astereae","setoso"
"8","Baccharis_magellanica","Astereae","setoso"
"9","Baccharis_patagonica","Astereae","setoso"
"10","Baccharis_salicifolia","Astereae","setoso"
"11","Baccharis_tola","Astereae","setoso"
"12","Baccharis_tucumanensis","Astereae","setoso"
"13","Brachyclados_caespitosus","Mutisieae","setoso"
"14","Burkartia_lanigera","Nassauvieae","setoso"
"15","Campuloclinium_purpurascens","Eupatorieae","setoso"
"16","Chaptalia","Mutisieae","setoso"
"17","Chaptalia_3","Mutisieae","setoso"
"18","Chaptalia_similis","Mutisieae","setoso"
"19","Chromolaena_arnottiana","Eupatorieae","setoso"
"20","Chromolaena_hookeriana","Eupatorieae","setoso"
"21","Chromolaena_ivifolia","Eupatorieae","setoso"
"22","Chuquiraga_atacamensis","Barnadesieae","setoso"
"23","Chuquiraga_aurea","Barnadesieae","setoso"
"24","Chuquiraga_erinaceae","Barnadesieae","setoso"
"25","Chuquiraga_oppositifolia","Barnadesieae","setoso"
"26","Cnicothamnus_lorentzii","Gochnatieae","setoso"
"27","Cyclolepis_genistoides","Gochnatieae","setoso"
"28","Dimerostemma_aspilioides","Heliantheae","aristado"
"29","Fleischmannia_prasiifolia","Eupatorieae","setoso"
"30","Fleischmannia_schickendantzii","Eupatorieae","setoso"
"31","Flourensia_oolepis","Heliantheae","aristado"
"32","Flourensia_riparia","Heliantheae","aristado"
"33","Gochnatia_glutinosa","Gochnatieae","setoso"
"34","Grindelia_chiloensis","Astereae","epaposo"
"35","Grindelia_pulchella","Astereae","aristado"
"36","Gutierrezia_gilliesii","Astereae","paleaceo"
"37","Heliantheae_monte","Heliantheae","aristado"
"38","Hyalis_argentea","Hyalideae","setoso"
"39","Hypochaeris_elata","Cichorieae","setoso"
"40","Hypochaeris_hookeri","Cichorieae","setoso"
"41","Hysterionica_jasionoides","Astereae","setoso"
"42","Kauna_saltensis","Eupatorieae","setoso"
"43","Lorentzianthus_viscidus","Eupatorieae","setoso"
"44","Mutisia_acuminata","Mutisieae","setoso"
"45","Mutisia_hamata","Mutisieae","setoso"
"46","Mutisia_kuntzii","Mutisieae","setoso"
"47","Mutisia_ledifolia","Mutisieae","setoso"
"48","Nardophyllum_armatum","Astereae","setoso"
"49","Nardophyllum_bryoides","Astereae","setoso"
"50","Picradeniopsis_multiflora","Bahieae","paleaceo"
"51","Porophyllum_cabrerae","Tageteae","setoso"
"52","Porophyllum_obscurum","Tageteae","setoso"
"53","Porophyllum_ruderale","Tageteae","setoso"
"54","Praxelis_clematidea","Eupatorieae","setoso"
"55","Sanvitalia_sp","Heliantheae","aristado"
"56","Schkuria_pinnata","Bahieae","paleaceo"
"57","Senecio_argophylloides","Senecioneae","setoso"
"58","Senecio_argyreus","Senecioneae","setoso"
"59","Senecio_arnottii","Senecioneae","setoso"
"60","Senecio_fiesii","Senecioneae","setoso"
"61","Senecio_filaginoides","Senecioneae","setoso"
"62","Senecio_miser","Senecioneae","setoso"
"63","Senecio_octolepis","Senecioneae","setoso"
"64","Senecio_pampae","Senecioneae","setoso"
"65","Senecio_rufescens","Senecioneae","setoso"
"66","Senecio_socompae","Senecioneae","setoso"
"67","Smallanthus_connatus","Millerieae","epaposo"
"68","Solidago_chilensis","Astereae","setoso"
"69","Stevia_satureiifolia","Eupatorieae","paleaceo"
"70","Stevia_sp2","Eupatorieae","setoso"
"71","Tagetes_campanulata","Tageteae","paleaceo"
"72","Tagetes_filifolia","Tageteae","paleaceo"
"73","Trichocline_reptans","Mutisieae","setoso"
"74","Trichocline_sp","Mutisieae","setoso"
"75","Tridax_procumbens","Millerieae","setoso"
"76","Verbesina_encelioides","Heliantheae","aristado"
